Naive,32,0.897491,0.730969,1.422413
Naive,48,0.903151,0.717070,1.285043
Naive,64,0.781648,0.697594,1.053419
Naive,128,0.780493,0.619446,1.056420
Naive,238,0.806603,0.644584,1.068836
Naive,512,0.798262,0.646057,1.101268
Naive,1024,0.793379,0.649920,1.033164
Transpose,32,0.605207,0.583163,0.783199
Transpose,48,0.690420,0.658360,0.860290
Transpose,64,0.630509,0.563715,0.727397
Transpose,128,0.629795,0.562420,0.816655
Transpose,238,0.645273,0.584691,0.785249
Transpose,512,0.633352,0.564252,0.748940
Transpose,1024,0.666314,0.595765,0.800160
Shmem,32,0.621885,0.560712,0.762739
Shmem,48,0.732991,0.655169,0.909452
Shmem,64,0.573699,0.551919,0.754378
Shmem,128,0.606251,0.551295,0.752060
Shmem,238,0.653478,0.579877,0.789901
Shmem,512,0.615586,0.556364,0.759821
Shmem,1024,0.623848,0.557733,0.804571
All_GPU,32,0.610974,0.368977,0.368977
All_GPU,48,0.713166,0.473504,0.473504
All_GPU,64,0.549251,0.307088,0.307088
All_GPU,128,0.547531,0.306805,0.306805
All_GPU,238,0.572691,0.329940,0.329940
All_GPU,512,0.564804,0.307566,0.307566
All_GPU,1024,0.554054,0.311667,0.311667
