Naive,32,0.845268,0.744783,1.036485
Naive,48,1.020235,0.904154,1.168398
Naive,64,1.399264,1.212600,1.628556
Naive,128,1.394347,1.225631,1.587710
Naive,238,1.477168,1.365205,1.690385
Naive,512,1.499968,1.393203,1.700462
Naive,1024,1.539769,1.370373,1.740833
Naive,32,0.852455,0.795092,1.047353
Naive,48,1.024976,0.869945,1.189646
Naive,64,1.395905,1.241512,1.604911
Naive,128,1.402353,1.237152,1.619598
Naive,238,1.469753,1.382056,1.680546
Naive,512,1.503132,1.390083,1.710715
Naive,1024,1.541311,1.371178,1.742892
Transpose,32,0.607770,0.605860,0.618707
Transpose,48,0.619528,0.616249,0.633172
Transpose,64,0.612675,0.610555,0.622979
Transpose,128,0.616132,0.613337,0.627880
Transpose,238,0.620088,0.617863,0.631848
Transpose,512,0.611958,0.609916,0.622613
Transpose,1024,0.612056,0.609705,0.622476
Shmem,32,0.464078,0.460460,0.479071
Shmem,48,0.461899,0.458504,0.476504
Shmem,64,0.387522,0.384105,0.398960
Shmem,128,0.507756,0.501358,0.517315
Shmem,238,0.560980,0.556686,0.569402
Shmem,512,0.552014,0.548435,0.564470
Shmem,1024,0.552215,0.548997,0.564280
All_GPU,32,0.356639,0.346137,0.346137
All_GPU,48,0.393470,0.382929,0.382929
All_GPU,64,0.255385,0.244866,0.244866
All_GPU,128,0.248828,0.238279,0.238279
All_GPU,238,0.266438,0.255929,0.255929
All_GPU,512,0.248245,0.237695,0.237695
All_GPU,1024,0.248538,0.238120,0.238120
